Barcode,Loc,Year,Test,Plot,Entry,Rep,Stock,Pedigree,DTA,DTS,PHT,FHT,EHT,STD,LDG,PlotWt,Moist,TestWt,Yield,YieldMoist,BuA,Population,PlantDate,Seed,Field,SeqNo,Range,Row,FtLong,FtAlley,FtWide,NumRows,HarvDate,AFppb,NOTES,Germination
CS18-YC1I-070,CS,2018,YC1I,070,Y407,1,CS16-YUAV-509-B7,(Tx740/NC356)-18-015-2-B5-B7,79,79,68,52,29,9,,,,,,,,18449,3/14/2018,24,,,15,84,12.5,4,2.5,1,,,,37.50%
CS18-YC1I-071,CS,2018,YC1I,071,RS,1,RS,,73,74,68,58,26,17,,,,,,,,34848,3/14/2018,24,,,15,85,12.5,4,2.5,1,,,,70.83%
CS18-YC1I-072,CS,2018,YC1I,072,Ki3,1,Ki3,,81,83,54,40,23,15,,,,,,,,30748,3/14/2018,24,,,15,86,12.5,4,2.5,1,,,,62.50%
CS18-YC1I-073,CS,2018,YC1I,073,Y357,1,CS16-YUAV-507-B5,(Tx740/NC356)-18-027-1-1-B5,81,82,70,56,28,13,,,,,,,,26648,3/14/2018,24,,,16,86,12.5,4,2.5,1,,,,54.17%
CS18-YC1I-074,CS,2018,YC1I,074,Y412,1,CS16-YUAV-443-B7,(Tx740/NC356)-18-027-2-1-1-B7,79,80,63,50,23,10,,,,,,,,20499,3/14/2018,24,,,16,85,12.5,4,2.5,1,,,,41.67%
CS18-YC1I-075,CS,2018,YC1I,075,Tx779,1,Tx779,,77,81,56,43,23,8,,,,,,,,16399,3/14/2018,24,,,16,84,12.5,4,2.5,1,,,,33.33%
CS18-YC1I-076,CS,2018,YC1I,076,Tx779,1,Tx779,,77,81,62,48,28,8,,,,,,,,16399,3/14/2018,24,,,16,83,12.5,4,2.5,1,,,,33.33%
CS18-YC1I-077,CS,2018,YC1I,077,Y450,1,WF17-YUAN-084-B,(Tx740/NC356)-18-146-2-1-B3-B,77,77,62,48,22,15,,,,,,,,30748,3/14/2018,24,,,16,82,12.5,4,2.5,1,,,,62.50%
CS18-YC1I-078,CS,2018,YC1I,078,Y385,1,CS15-YUAN-466-B5,(Tx740/NC356)-18-122-1-1-B5,77,77,63,47,22,7,,,,,,,,14349,3/14/2018,24,,,16,81,12.5,4,2.5,1,,,,29.17%
CS18-YC1I-079,CS,2018,YC1I,079,Y372,1,WF17-YUAN-052-B,(Tx740/NC356)-18-080-1-1-B4-B,81,82,73,58,24,9,,,,,,,,18449,3/14/2018,24,,,16,80,12.5,4,2.5,1,,,,37.50%
CS18-YC1I-080,CS,2018,YC1I,080,Y415,1,CS16-YUAV-488-B5,(Tx740/NC356)-18-040-2-1-B4-B5,79,80,53,37,17,5,,,,,,,,10249,3/14/2018,24,,,16,79,12.5,4,2.5,1,,,,20.83%
CS18-YC1I-081,CS,2018,YC1I,081,Y383,1,CS16-YUAV-520-B4,(Tx740/NC356)-18-118-1-B2-B4,81,82,62,46,23,15,,,,,,,,30748,3/14/2018,24,,,17,79,12.5,4,2.5,1,,,,62.50%
CS18-YC1I-082,CS,2018,YC1I,082,Y361,1,CS16-YUAV-504-B8,(Tx740/NC356)-18-042-1-1-B3-B8,75,77,65,49,24,15,,,,,,,,30748,3/14/2018,24,,,17,80,12.5,4,2.5,1,,,,62.50%
